Classifiers ,DistanceKNN,,,EuclideanKNN,,,GeneralizedKNN,,,KNN,,,MahalanobisKNN,,,SeuclideanKNN,,,WminkowskiKNN,,,ManhattanKNN,,,ChebyshevKNN,,
Fold,Accuracy,AUC,F-Measure,Accuracy,AUC,F-Measure,Accuracy,AUC,F-Measure,Accuracy,AUC,F-Measure,Accuracy,AUC,F-Measure,Accuracy,AUC,F-Measure,Accuracy,AUC,F-Measure,Accuracy,AUC,F-Measure,Accuracy,AUC,F-Measure
Fold 1,0.7885,0.5476,0.1616,0.792,0.5425,0.1591,0.8067,0.5642,0.184,0.792,0.5425,0.1591,0.7976,0.5678,0.1479,0.8053,0.55,0.1682,0.8067,0.5642,0.184,0.7934,0.5636,0.2054,0.8067,0.5687,0.1888
Fold 2,0.785,0.5936,0.2113,0.7864,0.5981,0.1958,0.7941,0.5835,0.2228,0.7864,0.5981,0.1958,0.792,0.5973,0.1957,0.785,0.5781,0.2073,0.7941,0.5835,0.2228,0.792,0.6066,0.241,0.7456,0.5609,0.2165
Fold 3,0.7827,0.5877,0.2294,0.7848,0.5795,0.2194,0.7982,0.5597,0.1633,0.7848,0.5795,0.2194,0.7989,0.6115,0.2434,0.7799,0.5835,0.2116,0.7982,0.5597,0.1633,0.8136,0.5612,0.2229,0.7954,0.5558,0.2071
Fold 4,0.7954,0.566,0.1983,0.7996,0.5735,0.1834,0.7982,0.5643,0.2137,0.7996,0.5735,0.1834,0.7806,0.5578,0.1568,0.7883,0.564,0.1973,0.7982,0.5643,0.2137,0.7918,0.555,0.1732,0.7736,0.5756,0.203
Fold 5,0.7961,0.5887,0.2408,0.7996,0.5868,0.2359,0.8003,0.5521,0.1548,0.7996,0.5868,0.2359,0.8115,0.578,0.1829,0.7925,0.6037,0.2494,0.8003,0.5521,0.1548,0.8087,0.592,0.2273,0.7848,0.5174,0.1547
Fold 6,0.7996,0.5492,0.1787,0.8031,0.5525,0.1765,0.794,0.532,0.1652,0.8031,0.5525,0.1765,0.7925,0.5498,0.1873,0.789,0.5439,0.1713,0.794,0.532,0.1652,0.7925,0.5672,0.1962,0.7778,0.5278,0.1771
Fold 7,0.7954,0.5449,0.1662,0.8031,0.547,0.1716,0.7876,0.5378,0.1611,0.8031,0.547,0.1716,0.7961,0.5755,0.2204,0.7989,0.5641,0.2011,0.7876,0.5378,0.1611,0.8045,0.5593,0.1871,0.7806,0.5574,0.1875
Fold 8,0.7961,0.5666,0.2033,0.8003,0.5705,0.2067,0.7989,0.6184,0.1966,0.8003,0.5705,0.2067,0.8101,0.6057,0.2059,0.7975,0.6152,0.2653,0.7989,0.6184,0.1966,0.794,0.5869,0.2145,0.7975,0.5896,0.2088
Fold 9,0.8038,0.5693,0.1866,0.8087,0.5678,0.1807,0.815,0.5773,0.2242,0.8087,0.5678,0.1807,0.7911,0.568,0.2245,0.7961,0.6003,0.2448,0.815,0.5773,0.2242,0.8024,0.5596,0.1855,0.794,0.5752,0.1605
Fold 10,0.7883,0.5897,0.2676,0.7827,0.5931,0.2482,0.8136,0.5737,0.1994,0.7827,0.5931,0.2482,0.7961,0.5787,0.2246,0.7771,0.5958,0.2055,0.8136,0.5737,0.1994,0.8172,0.6039,0.2308,0.8024,0.6119,0.2259
