Classifier,Bayes KNN,,,Chebyshev KNN,,,Distance KNN,,,Euclidean KNN,,,Generalized KNN,,,Hybrid KNN,,,KNN,,,Kmeans KNN,,,Mahalanobis KNN,,,SVM KNN,,,Seuclidean KNN,,,Wminkowski KNN,,
Fold,Accuracy,AUC,F-Measure,Accuracy,AUC,F-Measure,Accuracy,AUC,F-Measure,Accuracy,AUC,F-Measure,Accuracy,AUC,F-Measure,Accuracy,AUC,F-Measure,Accuracy,AUC,F-Measure,Accuracy,AUC,F-Measure,Accuracy,AUC,F-Measure,Accuracy,AUC,F-Measure,Accuracy,AUC,F-Measure,Accuracy,AUC,F-Measure
Fold 1,0.2094,0.4920,0.1704,0.8173,0.5295,0.7777,0.8117,0.5367,0.7787,0.8187,0.5286,0.7777,0.8187,0.5286,0.7777,0.8461,0.4992,0.7769,0.8187,0.5286,0.7777,0.8067,0.5338,0.7755,0.8243,0.5425,0.7862,0.8461,0.4992,0.7769,0.8229,0.5399,0.7845,0.8201,0.5312,0.7795
Fold 2,0.2045,0.4912,0.1767,0.8412,0.5396,0.7994,0.8306,0.5315,0.7918,0.8398,0.5406,0.7994,0.8398,0.5406,0.7994,0.8559,0.4980,0.7927,0.8398,0.5406,0.7994,0.8187,0.5472,0.7930,0.8306,0.5429,0.7966,0.8566,0.4984,0.7931,0.8187,0.5320,0.7874,0.8398,0.5406,0.7994
Fold 3,0.2060,0.4949,0.1582,0.8439,0.5187,0.7995,0.8319,0.5158,0.7942,0.8453,0.5215,0.8013,0.8453,0.5215,0.8013,0.8439,0.5051,0.7770,0.8453,0.5215,0.8013,0.8115,0.5143,0.7857,0.8354,0.5365,0.8038,0.8439,0.5051,0.7770,0.8495,0.5219,0.8028,0.8446,0.5211,0.8009
Fold 4,0.2222,0.5085,0.1705,0.8277,0.5253,0.7904,0.8249,0.5256,0.7894,0.8326,0.5301,0.7943,0.8326,0.5301,0.7943,0.8347,0.5017,0.7609,0.8326,0.5301,0.7943,0.8129,0.5341,0.7878,0.8326,0.5379,0.7976,0.8347,0.5017,0.7609,0.8326,0.5359,0.7968,0.8326,0.5301,0.7943
Fold 5,0.2025,0.4939,0.1573,0.8165,0.5268,0.7722,0.8108,0.5302,0.7720,0.8179,0.5276,0.7731,0.8179,0.5276,0.7731,0.8481,0.5034,0.7817,0.8179,0.5276,0.7731,0.7932,0.5366,0.7677,0.8200,0.5221,0.7708,0.8481,0.5034,0.7817,0.8200,0.5238,0.7718,0.8179,0.5276,0.7731
Fold 6,0.2201,0.5113,0.1812,0.8397,0.5466,0.8007,0.8298,0.5426,0.7950,0.8361,0.5445,0.7984,0.8361,0.5445,0.7984,0.8467,0.5019,0.7777,0.8361,0.5445,0.7984,0.8143,0.5523,0.7917,0.8347,0.5286,0.7906,0.8453,0.5010,0.7770,0.8256,0.5495,0.7959,0.8354,0.5422,0.7971
Fold 7,0.2032,0.5054,0.1437,0.8347,0.5307,0.7910,0.8383,0.5552,0.8032,0.8361,0.5390,0.7954,0.8361,0.5390,0.7954,0.8383,0.4975,0.7683,0.8361,0.5390,0.7954,0.8172,0.5465,0.7905,0.8291,0.5348,0.7909,0.8383,0.4975,0.7683,0.8347,0.5270,0.7892,0.8361,0.5390,0.7954
Fold 8,0.2082,0.4994,0.1502,0.8376,0.5259,0.7922,0.8376,0.5412,0.7992,0.8418,0.5360,0.7985,0.8418,0.5360,0.7985,0.8354,0.4987,0.7625,0.8418,0.5360,0.7985,0.8172,0.5444,0.7918,0.8291,0.5438,0.7968,0.8361,0.4992,0.7628,0.8298,0.5328,0.7926,0.8418,0.5360,0.7985
Fold 9,0.2173,0.5063,0.1645,0.8136,0.5322,0.7728,0.8108,0.5423,0.7763,0.8186,0.5419,0.7792,0.8186,0.5419,0.7792,0.8340,0.4983,0.7611,0.8186,0.5419,0.7792,0.7940,0.5322,0.7652,0.8052,0.5238,0.7658,0.8340,0.4983,0.7611,0.8186,0.5268,0.7716,0.8179,0.5398,0.7779
Fold 10,0.2145,0.5054,0.1622,0.8207,0.5361,0.7783,0.8129,0.5383,0.7765,0.8228,0.5425,0.7821,0.8228,0.5425,0.7821,0.8361,0.5001,0.7654,0.8228,0.5425,0.7821,0.7911,0.5354,0.7663,0.8024,0.5455,0.7751,0.8361,0.5001,0.7654,0.8291,0.5581,0.7918,0.8235,0.5446,0.7834
